PRESENTDATE,PROCEDUREBEGIN,PROCEDUREEND,date,begin_time,end_time
2018/01/02,2018/01/02 07:38:11.000,2018/01/02 08:09:54.147,1/2/2018,7:38:11 AM,8:09:54 AM
2018/01/03,2018/01/03 07:54:44.430,2018/01/03 08:21:11.987,1/3/2018,7:54:44 AM,8:21:12 AM
2018/01/04,2018/01/04 07:37:03.377,2018/01/04 07:57:42.863,1/4/2018,7:37:03 AM,7:57:43 AM
2018/01/05,2018/01/05 07:44:32.887,2018/01/05 08:08:05.253,1/5/2018,7:44:33 AM,8:08:05 AM
2018/01/06,2018/01/06 07:35:27.490,2018/01/06 07:53:50.550,1/6/2018,7:35:27 AM,7:53:51 AM
2018/01/07,2018/01/07 07:32:34.203,2018/01/07 08:01:53.197,1/7/2018,7:32:34 AM,8:01:53 AM
2018/01/08,2018/01/08 07:11:02.447,2018/01/08 07:36:22.500,1/8/2018,7:11:02 AM,7:36:22 AM
2018/01/09,2018/01/09 07:35:20.603,2018/01/09 08:16:09.563,1/9/2018,7:35:21 AM,8:16:10 AM
2018/01/10,2018/01/10 15:35:02.607,2018/01/10 16:09:17.420,1/10/2018,3:35:03 PM,4:09:17 PM
2018/01/11,2018/01/11 07:50:05.143,2018/01/11 08:33:15.340,1/11/2018,7:50:05 AM,8:33:15 AM
2018/01/12,2018/01/12 07:51:15.467,2018/01/12 08:13:04.837,1/12/2018,7:51:15 AM,8:13:05 AM
2018/01/13,2018/01/13 07:47:14.347,2018/01/13 08:10:32.340,1/13/2018,7:47:14 AM,8:10:32 AM
2018/01/15,2018/01/15 07:09:59.730,2018/01/15 07:42:37.820,1/15/2018,7:10:00 AM,7:42:38 AM
2018/01/16,2018/01/16 07:21:38.703,2018/01/16 07:54:42.253,1/16/2018,7:21:39 AM,7:54:42 AM
2018/01/17,2018/01/17 07:21:01.463,2018/01/17 07:52:00.767,1/17/2018,7:21:01 AM,7:52:01 AM
2018/01/18,2018/01/18 07:28:47.027,2018/01/18 07:54:47.027,1/18/2018,7:28:47 AM,7:54:47 AM
2018/01/19,2018/01/19 07:31:47.977,2018/01/19 07:50:40.473,1/19/2018,7:31:48 AM,7:50:40 AM
2018/01/20,2018/01/20 07:10:02.097,2018/01/20 07:31:12.163,1/20/2018,7:10:02 AM,7:31:12 AM
2018/01/21,2018/01/21 07:17:41.667,2018/01/21 07:37:32.327,1/21/2018,7:17:42 AM,7:37:32 AM
2018/01/22,2018/01/22 07:07:36.713,2018/01/22 07:48:28.330,1/22/2018,7:07:37 AM,7:48:28 AM
2018/01/23,2018/01/23 07:12:11.853,2018/01/23 07:12:12.050,1/23/2018,7:12:12 AM,7:12:12 AM
2018/01/24,2018/01/24 07:13:47.923,2018/01/24 07:13:47.937,1/24/2018,7:13:48 AM,7:13:48 AM
2018/01/25,2018/01/25 07:15:19.210,2018/01/25 07:15:19.220,1/25/2018,7:15:19 AM,7:15:19 AM
2018/01/26,2018/01/26 07:18:59.763,2018/01/26 07:19:00.003,1/26/2018,7:19:00 AM,7:19:00 AM
2018/01/27,2018/01/27 07:12:31.880,2018/01/27 07:12:31.903,1/27/2018,7:12:32 AM,7:12:32 AM
2018/01/28,2018/01/28 07:22:31.870,2018/01/28 07:22:31.877,1/28/2018,7:22:32 AM,7:22:32 AM
2018/01/29,2018/01/29 07:18:59.113,2018/01/29 07:18:59.277,1/29/2018,7:18:59 AM,7:18:59 AM
2018/01/30,2018/01/30 07:19:35.647,2018/01/30 07:19:35.650,1/30/2018,7:19:36 AM,7:19:36 AM
,2018/01/30 13:23:16.920,2018/01/30 13:23:17.070,,1:23:17 PM,1:23:17 PM
,2018/01/30 13:30:21.977,2018/01/30 13:30:21.980,,1:30:22 PM,1:30:22 PM
,2018/01/30 13:30:22.957,2018/01/30 13:30:22.960,,1:30:23 PM,1:30:23 PM
,2018/01/30 13:30:23.530,2018/01/30 13:30:23.533,,1:30:24 PM,1:30:24 PM
,2018/01/30 13:54:14.727,2018/01/30 13:54:14.740,,1:54:15 PM,1:54:15 PM
,2018/01/30 13:58:03.783,.,,1:58:04 PM,
,2018/01/30 13:58:49.753,.,,1:58:50 PM,
,2018/01/30 14:34:56.857,2018/01/30 15:18:12.037,,2:34:57 PM,3:18:12 PM
2018/01/31,2018/01/31 07:36:55.850,2018/01/31 08:18:17.243,1/31/2018,7:36:56 AM,8:18:17 AM
2018/02/01,2018/02/01 07:20:33.287,2018/02/01 08:01:07.250,2/1/2018,7:20:33 AM,8:01:07 AM
2018/02/02,2018/02/02 07:24:15.380,2018/02/02 08:04:57.273,2/2/2018,7:24:15 AM,8:04:57 AM
2018/02/03,2018/02/03 07:26:31.153,2018/02/03 08:01:53.210,2/3/2018,7:26:31 AM,8:01:53 AM
2018/02/04,2018/02/04 07:26:05.057,2018/02/04 07:51:19.060,2/4/2018,7:26:05 AM,7:51:19 AM
2018/02/05,2018/02/05 07:09:55.990,2018/02/05 07:45:35.187,2/5/2018,7:09:56 AM,7:45:35 AM
2018/02/06,2018/02/06 07:09:47.073,2018/02/06 07:53:22.263,2/6/2018,7:09:47 AM,7:53:22 AM
2018/02/07,2018/02/07 07:17:02.950,2018/02/07 07:49:16.247,2/7/2018,7:17:03 AM,7:49:16 AM
2018/02/08,2018/02/08 07:27:48.573,2018/02/08 07:51:42.793,2/8/2018,7:27:49 AM,7:51:43 AM
2018/02/09,2018/02/09 07:11:53.580,2018/02/09 07:50:09.223,2/9/2018,7:11:54 AM,7:50:09 AM
2018/02/10,2018/02/10 07:12:43.003,2018/02/10 07:32:36.377,2/10/2018,7:12:43 AM,7:32:36 AM
2018/02/11,2018/02/11 07:16:32.747,2018/02/11 07:36:21.230,2/11/2018,7:16:33 AM,7:36:21 AM
2018/02/12,2018/02/12 07:20:12.247,2018/02/12 08:01:19.503,2/12/2018,7:20:12 AM,8:01:20 AM
2018/02/14,2018/02/14 13:29:16.707,2018/02/14 14:15:43.327,2/14/2018,1:29:17 PM,2:15:43 PM
2018/02/15,2018/02/15 14:00:13.667,2018/02/15 14:42:08.660,2/15/2018,2:00:14 PM,2:42:09 PM
2018/02/16,2018/02/16 14:13:23.437,2018/02/16 14:13:23.637,2/16/2018,2:13:23 PM,2:13:24 PM
,2018/02/16 14:15:22.943,2018/02/16 14:15:22.973,,2:15:23 PM,2:15:23 PM
2018/02/17,2018/02/17 05:59:55.923,2018/02/17 05:59:56.177,2/17/2018,5:59:56 AM,5:59:56 AM
2018/02/18,2018/02/18 07:17:42.920,2018/02/18 07:39:50.867,2/18/2018,7:17:43 AM,7:39:51 AM
2018/02/19,2018/02/19 07:20:33.310,2018/02/19 08:03:36.410,2/19/2018,7:20:33 AM,8:03:36 AM
2018/02/20,2018/02/20 07:51:20.593,2018/02/20 08:36:59.097,2/20/2018,7:51:21 AM,8:36:59 AM
2018/02/21,2018/02/21 07:36:28.373,2018/02/21 08:16:21.877,2/21/2018,7:36:28 AM,8:16:22 AM
2018/02/22,2018/02/22 07:30:22.383,2018/02/22 07:54:53.120,2/22/2018,7:30:22 AM,7:54:53 AM
2018/02/23,2018/02/23 07:34:08.907,2018/02/23 08:08:03.090,2/23/2018,7:34:09 AM,8:08:03 AM
2018/02/24,2018/02/24 07:16:29.043,2018/02/24 07:33:24.757,2/24/2018,7:16:29 AM,7:33:25 AM
2018/02/25,2018/02/25 07:55:55.850,2018/02/25 08:13:44.267,2/25/2018,7:55:56 AM,8:13:44 AM
2018/02/26,2018/02/26 07:20:51.380,2018/02/26 07:56:12.120,2/26/2018,7:20:51 AM,7:56:12 AM
2018/02/27,2018/02/27 07:44:53.623,2018/02/27 08:20:06.273,2/27/2018,7:44:54 AM,8:20:06 AM
2018/02/28,2018/02/28 07:30:29.597,2018/02/28 08:05:54.613,2/28/2018,7:30:30 AM,8:05:55 AM
2018/03/01,2018/03/01 07:36:55.873,2018/03/01 08:14:53.040,3/1/2018,7:36:56 AM,8:14:53 AM
2018/03/04,2018/03/04 07:40:54.473,2018/03/04 07:58:35.780,3/4/2018,7:40:54 AM,7:58:36 AM
2018/03/05,2018/03/05 07:30:12.270,2018/03/05 08:18:22.230,3/5/2018,7:30:12 AM,8:18:22 AM
2018/03/06,2018/03/06 10:50:00.133,2018/03/06 11:43:36.797,3/6/2018,10:50:00 AM,11:43:37 AM
2018/03/07,2018/03/07 07:13:22.373,2018/03/07 08:05:57.047,3/7/2018,7:13:22 AM,8:05:57 AM
2018/03/08,2018/03/08 07:04:44.020,2018/03/08 07:45:09.337,3/8/2018,7:04:44 AM,7:45:09 AM
2018/03/09,2018/03/09 11:01:01.367,2018/03/09 11:28:03.837,3/9/2018,11:01:01 AM,11:28:04 AM
2018/03/10,2018/03/10 10:22:53.897,2018/03/10 10:53:07.457,3/10/2018,10:22:54 AM,10:53:07 AM
2018/03/11,2018/03/11 06:47:55.753,2018/03/11 07:06:02.367,3/11/2018,6:47:56 AM,7:06:02 AM
2018/03/12,2018/03/12 06:24:22.397,2018/03/12 07:11:19.320,3/12/2018,6:24:22 AM,7:11:19 AM
2018/03/13,2018/03/13 06:26:46.333,2018/03/13 07:19:42.220,3/13/2018,6:26:46 AM,7:19:42 AM
2018/03/14,2018/03/14 06:31:01.470,2018/03/14 07:20:40.167,3/14/2018,6:31:01 AM,7:20:40 AM
2018/03/15,2018/03/15 06:23:44.867,.,3/15/2018,6:23:45 AM,
2018/03/16,2018/03/16 06:35:30.823,2018/03/16 06:43:23.740,3/16/2018,6:35:31 AM,6:43:24 AM
2018/03/17,2018/03/17 06:25:18.650,2018/03/17 06:33:29.177,3/17/2018,6:25:19 AM,6:33:29 AM
2018/03/18,2018/03/18 06:04:15.747,2018/03/18 06:11:13.180,3/18/2018,6:04:16 AM,6:11:13 AM
2018/03/19,2018/03/19 06:24:49.710,2018/03/19 06:32:31.113,3/19/2018,6:24:50 AM,6:32:31 AM
,2018/03/19 10:30:44.707,.,,10:30:45 AM,
,2018/03/19 10:37:57.503,2018/03/19 10:44:01.560,,10:37:58 AM,10:44:02 AM
2018/03/20,2018/03/20 06:38:45.700,2018/03/20 07:31:43.417,3/20/2018,6:38:46 AM,7:31:43 AM
2018/03/21,2018/03/21 06:35:53.053,2018/03/21 07:25:39.900,3/21/2018,6:35:53 AM,7:25:40 AM
2018/03/22,2018/03/22 06:48:54.367,2018/03/22 07:31:09.423,3/22/2018,6:48:54 AM,7:31:09 AM
2018/03/23,2018/03/23 06:31:21.690,2018/03/23 06:58:51.483,3/23/2018,6:31:22 AM,6:58:51 AM
2018/03/24,2018/03/24 06:18:12.313,2018/03/24 06:40:23.873,3/24/2018,6:18:12 AM,6:40:24 AM
2018/03/25,2018/03/25 06:20:32.373,2018/03/25 06:40:37.277,3/25/2018,6:20:32 AM,6:40:37 AM
2018/03/26,2018/03/26 06:30:27.360,2018/03/26 07:27:06.007,3/26/2018,6:30:27 AM,7:27:06 AM
2018/03/27,2018/03/27 06:33:30.837,2018/03/27 07:33:56.953,3/27/2018,6:33:31 AM,7:33:57 AM
2018/03/28,2018/03/28 06:18:16.307,2018/03/28 07:11:26.750,3/28/2018,6:18:16 AM,7:11:27 AM
2018/03/29,2018/03/29 06:22:34.100,2018/03/29 07:19:24.950,3/29/2018,6:22:34 AM,7:19:25 AM
2018/03/30,2018/03/30 06:26:40.877,2018/03/30 07:20:29.340,3/30/2018,6:26:41 AM,7:20:29 AM
2018/03/31,2018/03/31 06:40:21.300,2018/03/31 07:32:48.180,3/31/2018,6:40:21 AM,7:32:48 AM
2018/04/01,2018/04/01 06:43:32.327,2018/04/01 07:34:17.407,4/1/2018,6:43:32 AM,7:34:17 AM
2018/04/02,2018/04/02 02:39:31.730,2018/04/02 02:39:32.117,4/2/2018,2:39:32 AM,2:39:32 AM
